"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"Alabama"	"01"	536086
	"All Invasive Cancer Sites Combined"	"0"	"Alaska"	"02"	58752
	"All Invasive Cancer Sites Combined"	"0"	"Arizona"	"04"	625215
	"All Invasive Cancer Sites Combined"	"0"	"Arkansas"	"05"	337779
	"All Invasive Cancer Sites Combined"	"0"	"California"	"06"	3490724
	"All Invasive Cancer Sites Combined"	"0"	"Colorado"	"08"	465254
	"All Invasive Cancer Sites Combined"	"0"	"Connecticut"	"09"	451493
	"All Invasive Cancer Sites Combined"	"0"	"Delaware"	"10"	115303
	"All Invasive Cancer Sites Combined"	"0"	"District of Columbia"	"11"	63267
	"All Invasive Cancer Sites Combined"	"0"	"Florida"	"12"	2605563
	"All Invasive Cancer Sites Combined"	"0"	"Georgia"	"13"	968654
	"All Invasive Cancer Sites Combined"	"0"	"Hawaii"	"15"	145801
	"All Invasive Cancer Sites Combined"	"0"	"Idaho"	"16"	162349
	"All Invasive Cancer Sites Combined"	"0"	"Illinois"	"17"	1444439
	"All Invasive Cancer Sites Combined"	"0"	"Indiana"	"18"	693683
	"All Invasive Cancer Sites Combined"	"0"	"Iowa"	"19"	384071
	"All Invasive Cancer Sites Combined"	"0"	"Kansas"	"20"	316824
	"All Invasive Cancer Sites Combined"	"0"	"Kentucky"	"21"	550576
	"All Invasive Cancer Sites Combined"	"0"	"Louisiana"	"22"	521009
	"All Invasive Cancer Sites Combined"	"0"	"Maine"	"23"	187565
	"All Invasive Cancer Sites Combined"	"0"	"Maryland"	"24"	635549
	"All Invasive Cancer Sites Combined"	"0"	"Massachusetts"	"25"	811353
	"All Invasive Cancer Sites Combined"	"0"	"Michigan"	"26"	1189473
	"All Invasive Cancer Sites Combined"	"0"	"Minnesota"	"27"	602790
	"All Invasive Cancer Sites Combined"	"0"	"Mississippi"	"28"	279469
	"All Invasive Cancer Sites Combined"	"0"	"Missouri"	"29"	697141
	"All Invasive Cancer Sites Combined"	"0"	"Montana"	"30"	123838
	"All Invasive Cancer Sites Combined"	"0"	"Nebraska"	"31"	207774
	"All Invasive Cancer Sites Combined"	"0"	"Nevada"	"32"	246079
	"All Invasive Cancer Sites Combined"	"0"	"New Hampshire"	"33"	169325
	"All Invasive Cancer Sites Combined"	"0"	"New Jersey"	"34"	1099140
	"All Invasive Cancer Sites Combined"	"0"	"New Mexico"	"35"	193712
	"All Invasive Cancer Sites Combined"	"0"	"New York"	"36"	2362437
	"All Invasive Cancer Sites Combined"	"0"	"North Carolina"	"37"	1077938
	"All Invasive Cancer Sites Combined"	"0"	"North Dakota"	"38"	79397
	"All Invasive Cancer Sites Combined"	"0"	"Ohio"	"39"	1387248
	"All Invasive Cancer Sites Combined"	"0"	"Oklahoma"	"40"	417775
	"All Invasive Cancer Sites Combined"	"0"	"Oregon"	"41"	442692
	"All Invasive Cancer Sites Combined"	"0"	"Pennsylvania"	"42"	1696017
	"All Invasive Cancer Sites Combined"	"0"	"Rhode Island"	"44"	138247
	"All Invasive Cancer Sites Combined"	"0"	"South Carolina"	"45"	535745
	"All Invasive Cancer Sites Combined"	"0"	"South Dakota"	"46"	88510
	"All Invasive Cancer Sites Combined"	"0"	"Tennessee"	"47"	712233
	"All Invasive Cancer Sites Combined"	"0"	"Texas"	"48"	2248969
	"All Invasive Cancer Sites Combined"	"0"	"Utah"	"49"	202748
	"All Invasive Cancer Sites Combined"	"0"	"Vermont"	"50"	79503
	"All Invasive Cancer Sites Combined"	"0"	"Virginia"	"51"	805659
	"All Invasive Cancer Sites Combined"	"0"	"Washington"	"53"	743632
	"All Invasive Cancer Sites Combined"	"0"	"West Virginia"	"54"	252705
	"All Invasive Cancer Sites Combined"	"0"	"Wisconsin"	"55"	675027
	"All Invasive Cancer Sites Combined"	"0"	"Wyoming"	"56"	56221
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	15095
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	1620
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	14395
	"Oral Cavity and Pharynx"	"20010-20100"	"Arkansas"	"05"	9197
	"Oral Cavity and Pharynx"	"20010-20100"	"California"	"06"	85825
	"Oral Cavity and Pharynx"	"20010-20100"	"Colorado"	"08"	11549
	"Oral Cavity and Pharynx"	"20010-20100"	"Connecticut"	"09"	10458
	"Oral Cavity and Pharynx"	"20010-20100"	"Delaware"	"10"	2789
	"Oral Cavity and Pharynx"	"20010-20100"	"District of Columbia"	"11"	1608
	"Oral Cavity and Pharynx"	"20010-20100"	"Florida"	"12"	74554
	"Oral Cavity and Pharynx"	"20010-20100"	"Georgia"	"13"	25827
	"Oral Cavity and Pharynx"	"20010-20100"	"Hawaii"	"15"	4181
	"Oral Cavity and Pharynx"	"20010-20100"	"Idaho"	"16"	4348
	"Oral Cavity and Pharynx"	"20010-20100"	"Illinois"	"17"	35394
	"Oral Cavity and Pharynx"	"20010-20100"	"Indiana"	"18"	17396
	"Oral Cavity and Pharynx"	"20010-20100"	"Iowa"	"19"	9813
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	7697
	"Oral Cavity and Pharynx"	"20010-20100"	"Kentucky"	"21"	14241
	"Oral Cavity and Pharynx"	"20010-20100"	"Louisiana"	"22"	13751
	"Oral Cavity and Pharynx"	"20010-20100"	"Maine"	"23"	4836
	"Oral Cavity and Pharynx"	"20010-20100"	"Maryland"	"24"	14879
	"Oral Cavity and Pharynx"	"20010-20100"	"Massachusetts"	"25"	19570
	"Oral Cavity and Pharynx"	"20010-20100"	"Michigan"	"26"	29020
	"Oral Cavity and Pharynx"	"20010-20100"	"Minnesota"	"27"	15129
	"Oral Cavity and Pharynx"	"20010-20100"	"Mississippi"	"28"	7726
	"Oral Cavity and Pharynx"	"20010-20100"	"Missouri"	"29"	17863
	"Oral Cavity and Pharynx"	"20010-20100"	"Montana"	"30"	3036
	"Oral Cavity and Pharynx"	"20010-20100"	"Nebraska"	"31"	5189
	"Oral Cavity and Pharynx"	"20010-20100"	"Nevada"	"32"	6338
	"Oral Cavity and Pharynx"	"20010-20100"	"New Hampshire"	"33"	4038
	"Oral Cavity and Pharynx"	"20010-20100"	"New Jersey"	"34"	23415
	"Oral Cavity and Pharynx"	"20010-20100"	"New Mexico"	"35"	4635
	"Oral Cavity and Pharynx"	"20010-20100"	"New York"	"36"	51089
	"Oral Cavity and Pharynx"	"20010-20100"	"North Carolina"	"37"	28037
	"Oral Cavity and Pharynx"	"20010-20100"	"North Dakota"	"38"	2004
	"Oral Cavity and Pharynx"	"20010-20100"	"Ohio"	"39"	32696
	"Oral Cavity and Pharynx"	"20010-20100"	"Oklahoma"	"40"	11497
	"Oral Cavity and Pharynx"	"20010-20100"	"Oregon"	"41"	11380
	"Oral Cavity and Pharynx"	"20010-20100"	"Pennsylvania"	"42"	38740
	"Oral Cavity and Pharynx"	"20010-20100"	"Rhode Island"	"44"	3002
	"Oral Cavity and Pharynx"	"20010-20100"	"South Carolina"	"45"	14579
	"Oral Cavity and Pharynx"	"20010-20100"	"South Dakota"	"46"	2187
	"Oral Cavity and Pharynx"	"20010-20100"	"Tennessee"	"47"	18916
	"Oral Cavity and Pharynx"	"20010-20100"	"Texas"	"48"	57959
	"Oral Cavity and Pharynx"	"20010-20100"	"Utah"	"49"	4354
	"Oral Cavity and Pharynx"	"20010-20100"	"Vermont"	"50"	1965
	"Oral Cavity and Pharynx"	"20010-20100"	"Virginia"	"51"	20646
	"Oral Cavity and Pharynx"	"20010-20100"	"Washington"	"53"	19020
	"Oral Cavity and Pharynx"	"20010-20100"	"West Virginia"	"54"	6339
	"Oral Cavity and Pharynx"	"20010-20100"	"Wisconsin"	"55"	16982
	"Oral Cavity and Pharynx"	"20010-20100"	"Wyoming"	"56"	1400
	"Lip"	"20010"	"Alabama"	"01"	1279
