Notes,States,States Code,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Sex,Sex Code,Count
,Alabama,1,2000,2000,Brain and Other Nervous System,31010-31040,Female,F,146
,Alabama,1,2000,2000,Brain and Other Nervous System,31010-31040,Male,M,150
,Alabama,1,2000,2000,Breast,26000,Female,F,2964
,Alabama,1,2000,2000,Breast,26000,Male,M,29
,Alabama,1,2000,2000,Cervix Uteri,27010,Female,F,237
,Alabama,1,2000,2000,Colon and Rectum,21041-21052,Female,F,1159
,Alabama,1,2000,2000,Colon and Rectum,21041-21052,Male,M,1146
,Alabama,1,2000,2000,Corpus Uteri,27020,Female,F,420
,Alabama,1,2000,2000,Esophagus,21010,Female,F,54
,Alabama,1,2000,2000,Esophagus,21010,Male,M,157
,Alabama,1,2000,2000,Gallbladder,21080,Female,F,28
,Alabama,1,2000,2000,Kidney and Renal Pelvis,29020,Female,F,192
,Alabama,1,2000,2000,Kidney and Renal Pelvis,29020,Male,M,315
,Alabama,1,2000,2000,Larynx,22020,Female,F,41
,Alabama,1,2000,2000,Larynx,22020,Male,M,202
,Alabama,1,2000,2000,Leukemias,35011-35043,Female,F,197
,Alabama,1,2000,2000,Leukemias,35011-35043,Male,M,247
,Alabama,1,2000,2000,Liver,21071,Female,F,54
,Alabama,1,2000,2000,Liver,21071,Male,M,122
,Alabama,1,2000,2000,Lung and Bronchus,22030,Female,F,1298
,Alabama,1,2000,2000,Lung and Bronchus,22030,Male,M,2142
,Alabama,1,2000,2000,Melanoma of the Skin,25010,Female,F,250
,Alabama,1,2000,2000,Melanoma of the Skin,25010,Male,M,332
,Alabama,1,2000,2000,Myeloma,34000,Female,F,116
,Alabama,1,2000,2000,Myeloma,34000,Male,M,141
,Alabama,1,2000,2000,Non-Hodgkin Lymphoma,33041-33042,Female,F,342
,Alabama,1,2000,2000,Non-Hodgkin Lymphoma,33041-33042,Male,M,369
,Alabama,1,2000,2000,Oral Cavity and Pharynx,20010-20100,Female,F,152
,Alabama,1,2000,2000,Oral Cavity and Pharynx,20010-20100,Male,M,382
,Alabama,1,2000,2000,Ovary,27040,Female,F,353
,Alabama,1,2000,2000,Pancreas,21100,Female,F,240
,Alabama,1,2000,2000,Pancreas,21100,Male,M,238
,Alabama,1,2000,2000,Prostate,28010,Male,M,2793
,Alabama,1,2000,2000,Stomach,21020,Female,F,115
,Alabama,1,2000,2000,Stomach,21020,Male,M,184
,Alabama,1,2000,2000,Thyroid,32010,Female,F,177
,Alabama,1,2000,2000,Thyroid,32010,Male,M,58
,Alabama,1,2000,2000,Urinary Bladder invasive and in situ,29010,Female,F,167
,Alabama,1,2000,2000,Urinary Bladder invasive and in situ,29010,Male,M,548
,Alabama,1,2001,2001,Brain and Other Nervous System,31010-31040,Female,F,144
,Alabama,1,2001,2001,Brain and Other Nervous System,31010-31040,Male,M,157
,Alabama,1,2001,2001,Breast,26000,Female,F,3101
,Alabama,1,2001,2001,Breast,26000,Male,M,20
,Alabama,1,2001,2001,Cervix Uteri,27010,Female,F,232
,Alabama,1,2001,2001,Colon and Rectum,21041-21052,Female,F,1124
,Alabama,1,2001,2001,Colon and Rectum,21041-21052,Male,M,1213
